metric,control,effect,ci95_low,ci95_high,cohen_dz,seed_win_rate,seed_tie_rate,body_wins,effect_drone,effect_ground_creature,effect_virtual_avatar,effect_wheeled_robot
identity_continuity_score_v2,progressive_no_persistent_self,0.38807139466963797,0.33621836145826056,0.4399244278810154,2.7945952492152784,0.9333333333333333,0.0,4,0.36810544092003966,0.41029805109181466,0.394437725564414,0.37944436110228363
final_old_signature_clone_capture,progressive_no_persistent_self,0.8194444444444422,0.7416693847782134,0.897219504110671,3.9342378598103536,0.9666666666666667,0.03333333333333333,4,0.7944444444444424,0.8277777777777757,0.8555555555555533,0.7999999999999979
final_identity_retention,progressive_no_persistent_self,0.568171296296295,0.4745974257096121,0.661745166882978,2.2672851666460274,0.9333333333333333,0.0,4,0.53148148148148,0.6097222222222213,0.5745370370370356,0.5569444444444434
final_identity_recovery_latency,progressive_no_persistent_self,3.7466666666666666,3.146348078868284,4.346985254465049,2.3304764406032557,0.9333333333333333,0.06666666666666667,4,3.4933333333333336,4.133333333333334,3.68,3.68
final_self_posterior_margin,progressive_no_persistent_self,0.011113776416145249,0.007039367402519795,0.015188185429770703,1.0185409227370144,0.9,0.0,4,0.01130984944572066,0.011560554393055006,0.011054054690297332,0.010530647135507994
final_identity_switches,progressive_no_persistent_self,-5.858333333333333,-6.812443189035419,-4.904223477631247,-2.2927523542155357,0.0,0.0,0,-6.166666666666667,-5.233333333333333,-6.433333333333334,-5.6
stage_identity_chain_score,progressive_no_persistent_self,1.0,1.0,1.0,,1.0,0.0,4,1.0,1.0,1.0,1.0
identity_continuity_score_v2,progressive_history_reset,-0.057282313676650494,-0.08270844694964391,-0.031856180403657085,-0.8412434256089913,0.3,0.0,0,-0.06060673561297434,-0.063230170851122,-0.06930258013085831,-0.03598976811164733
final_old_signature_clone_capture,progressive_history_reset,0.04027777777777857,0.02271163711236371,0.057843918443193434,0.8561908778752421,0.6333333333333333,0.3,4,0.02777777777777833,0.04444444444444533,0.03888888888888966,0.050000000000001
final_identity_retention,progressive_history_reset,-0.14155092592592716,-0.19804637403983338,-0.08505547781202094,-0.935579523114218,0.06666666666666667,0.26666666666666666,0,-0.141203703703705,-0.16064814814814968,-0.16203703703703834,-0.10231481481481565
final_identity_recovery_latency,progressive_history_reset,-1.306666666666667,-1.8262000978279995,-0.7871332355053345,-0.9391452460333961,0.06666666666666667,0.3,0,-1.2800000000000002,-1.4400000000000002,-1.4933333333333334,-1.0133333333333334
final_self_posterior_margin,progressive_history_reset,-0.0005021760182029179,-0.004291908634093322,0.0032875565976874855,-0.04947990424006728,0.5,0.0,2,0.0020507776749236614,0.00017745643371733604,-0.003450787689291668,-0.0007861504921610011
