protocol_version,profile,condition,seed,schedule,training_transition_count,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score
7.0-p1,ground_creature,progressive_persistent,253,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99452872074095,0.04020224165852,0.95432647908243,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,final_from_start,253,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.37581697256505,0.1798275827132,0.19598938985185,64,67,0.0,1.0,0.0
7.0-p1,ground_creature,reverse_curriculum,253,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99475528058902,0.04009662938562,0.9546586512034,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,random_curriculum,253,0-1-3-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99461469402132,0.04013251867472,0.9544821753466,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,progressive_history_reset,253,0-1-2-3,3,0.0,0.0,4.8,0.0,0.0,0.0,6.4,0.0,1.0,0.96202568318727,0.05528391814994,0.90674176503733,1,4,0.0,1.0,0.25
7.0-p1,ground_creature,progressive_no_persistent_self,253,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95900245659254,0.17975329479636,0.77924916179618,1,3,0.0,0.99479166666667,0.0
7.0-p1,wheeled_robot,progressive_persistent,253,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99395300866245,0.0400305828062,0.95392242585625,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,final_from_start,253,3-3-3-3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.99394091147427,0.0555262103623,0.93841470111197,1,2,0.0,1.0,1.0
7.0-p1,wheeled_robot,reverse_curriculum,253,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99420631142885,0.04022100474067,0.95398530668818,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,random_curriculum,253,0-1-3-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99402889374706,0.04017410136318,0.95385479238388,1,1,1.0,1.0,1.0
