protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy
7.0-p2,ground_creature,progressive_persistent,261,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95540641428208,0.6174263159471,0.33798009833497,2,3,1.0,0.99404761904762,0.79225231202558,0.8406471010466
7.0-p2,ground_creature,final_from_start,261,3-3-3-3,3,4,3,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95548484168617,0.61714359878935,0.33834124289682,2,3,1.0,0.99404761904762,0.792295649373,0.8406471010466
7.0-p2,ground_creature,reverse_curriculum,261,2-1-0-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9557161197081,0.61757772922136,0.33813839048673,2,3,1.0,0.99404761904762,0.79227130708379,0.8406471010466
7.0-p2,ground_creature,random_curriculum,261,0-2-1-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95552202522803,0.61708250242287,0.33843952280516,2,3,1.0,0.99404761904762,0.792307442962,0.8406471010466
7.0-p2,ground_creature,progressive_history_reset,261,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95392908108328,0.61653100472108,0.3373980763622,2,5,0.0,0.98214285714286,0.79218246938884,0.8406471010466
7.0-p2,ground_creature,progressive_no_persistent_self,261,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95417476303317,0.62079456919963,0.33338019383354,1,3,0.0,0.98809523809524,0.26000562326003,0.0
7.0-p2,wheeled_robot,progressive_persistent,261,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94118394002511,0.61175698900214,0.32942695102297,2,5,0.0,0.98214285714286,0.49598956745609,0.34722222222222
7.0-p2,wheeled_robot,final_from_start,261,3-3-3-3,3,4,3,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94211268405017,0.61201806479493,0.33009461925525,2,5,0.0,0.98214285714286,0.49606968764396,0.34722222222222
7.0-p2,wheeled_robot,reverse_curriculum,261,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94700373347701,0.61135194691935,0.33565178655766,2,4,0.0,0.98809523809524,0.49673654772025,0.34722222222222
7.0-p2,wheeled_robot,random_curriculum,261,0-2-1-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94759915244344,0.61156778195847,0.33603137048497,2,4,0.0,0.98809523809524,0.49678209779153,0.34722222222222
7.0-p2,wheeled_robot,progressive_history_reset,261,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94445378361555,0.56700169309305,0.3774520905225,2,5,0.0,0.98214285714286,0.4684192508627,0.30555555555556
7.0-p2,wheeled_robot,progressive_no_persistent_self,261,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95382305180464,0.61986359635697,0.33395945544767,1,3,0.0,0.98809523809524,0.26007513465372,0.0
7.0-p2,drone,progressive_persistent,261,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94136700457125,0.61286032451515,0.3285066800561,2,4,0.0,0.98809523809524,0.49587913494007,0.34722222222222
7.0-p2,drone,final_from_start,261,3-3-3-3,3,4,3,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94197679012531,0.61344623860416,0.32853055152115,2,4,0.0,0.98809523809524,0.49588199951587,0.34722222222222
7.0-p2,drone,reverse_curriculum,261,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94201499633168,0.61340343938778,0.3286115569439,2,4,0.0,0.99404761904762,0.4958917201666,0.34722222222222
7.0-p2,drone,random_curriculum,261,0-2-1-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.9418470217211,0.61260843450247,0.32923858721863,2,4,0.0,0.99404761904762,0.49596696379957,0.34722222222222
7.0-p2,drone,progressive_history_reset,261,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95263723033539,0.61499050770434,0.33764672263105,2,5,0.0,0.98214285714286,0.79221230694111,0.8406471010466
7.0-p2,drone,progressive_no_persistent_self,261,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95342392462312,0.61881332864338,0.33461059597974,1,3,0.0,0.98809523809524,0.26015327151757,0.0
7.0-p2,virtual_avatar,progressive_persistent,261,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94787065778405,0.61261318141929,0.33525747636476,2,4,0.0,0.98809523809524,0.49668923049711,0.34722222222222
7.0-p2,virtual_avatar,final_from_start,261,3-3-3-3,3,4,3,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94817478595475,0.61265551415014,0.33551927180461,2,4,0.0,0.98809523809524,0.49672064594989,0.34722222222222
7.0-p2,virtual_avatar,reverse_curriculum,261,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91837519351986,0.60540035346126,0.3129748400586,2,3,1.0,0.99404761904762,0.78925168103241,0.8406471010466
7.0-p2,virtual_avatar,random_curriculum,261,0-2-1-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94803752647328,0.61300623435726,0.33503129211602,2,4,0.0,0.98809523809524,0.49666208838726,0.34722222222222
7.0-p2,virtual_avatar,progressive_history_reset,261,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95372646967397,0.61611731031463,0.33760915935934,2,5,0.0,0.98214285714286,0.7922077993485,0.8406471010466
7.0-p2,virtual_avatar,progressive_no_persistent_self,261,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95459849267676,0.62118962893076,0.333408863746,1,3,0.0,0.98809523809524,0.26000906364952,0.0
7.0-p2,ground_creature,progressive_persistent,262,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95556836147231,0.61705353590319,0.33851482556912,2,3,1.0,0.99404761904762,0.79231647929367,0.8406471010466
7.0-p2,ground_creature,final_from_start,262,3-3-3-3,3,4,3,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95558514377922,0.61678885855884,0.33879628522038,2,3,1.0,0.99404761904762,0.79235025445182,0.8406471010466
7.0-p2,ground_creature,reverse_curriculum,262,2-1-0-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95536100024031,0.61719555012976,0.33816545011054,2,3,1.0,0.99404761904762,0.79227455423864,0.8406471010466
7.0-p2,ground_creature,random_curriculum,262,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95544408505539,0.6170620842596,0.33838200079579,2,3,1.0,0.99404761904762,0.79230054032087,0.8406471010466
7.0-p2,ground_creature,progressive_history_reset,262,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95341915817598,0.61675923745934,0.33665992071663,2,5,0.0,0.98214285714286,0.79209389071138,0.8406471010466
7.0-p2,ground_creature,progressive_no_persistent_self,262,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95349752440814,0.62106296024511,0.33243456416303,1,3,1.0,0.98809523809524,0.25989214769956,0.0
7.0-p2,wheeled_robot,progressive_persistent,262,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94256247138463,0.61161874896581,0.33094372241882,2,5,0.0,0.98214285714286,0.49617158002359,0.34722222222222
7.0-p2,wheeled_robot,final_from_start,262,3-3-3-3,3,4,3,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.9470231639566,0.61152905852194,0.33549410543466,2,4,0.0,0.98809523809524,0.49671762598549,0.34722222222222
7.0-p2,wheeled_robot,reverse_curriculum,262,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94761710226617,0.61087641174421,0.33674069052196,2,4,0.0,0.98809523809524,0.49686721619597,0.34722222222222
7.0-p2,wheeled_robot,random_curriculum,262,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94220155246899,0.61185893872114,0.33034261374785,2,5,0.0,0.98214285714286,0.49609944698308,0.34722222222222
7.0-p2,wheeled_robot,progressive_history_reset,262,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94370245752273,0.56709811072676,0.37660434679597,2,5,0.0,0.98214285714286,0.46831752161552,0.30555555555556
7.0-p2,wheeled_robot,progressive_no_persistent_self,262,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95390990482558,0.62003725186379,0.33387265296178,1,3,0.0,0.98809523809524,0.26006471835541,0.0
7.0-p2,drone,progressive_persistent,262,0-1-2-3,3,4,0,0.80952380952381,0.4,0.8,1.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91758687826578,0.60541634527065,0.31217053299513,2,4,1.0,0.98809523809524,0.78915516418479,0.8406471010466
7.0-p2,drone,final_from_start,262,3-3-3-3,3,4,3,0.80952380952381,0.4,0.8,1.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91821936414206,0.60452662006744,0.31369274407461,2,4,1.0,0.98214285714286,0.78933782951433,0.8406471010466
