protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy,confirmatory_release,phase
7.0-p2,ground_creature,progressive_persistent,277,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94238569984859,0.61269063485991,0.32969506498868,2,5,0.0,0.98214285714286,0.49602174113198,0.34722222222222,7.0-r1,heldout
7.0-p2,ground_creature,progressive_no_persistent_self,277,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.9542908635331,0.62219697189041,0.33209389164269,1,3,0.0,0.98809523809524,0.25985126699712,0.0,7.0-r1,heldout
7.0-p2,ground_creature,progressive_history_reset,277,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95409942851122,0.61690229195234,0.33719713655888,2,5,0.0,0.98214285714286,0.79215835661244,0.8406471010466,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_persistent,277,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94243853186275,0.61466008938739,0.32777844247536,2,4,0.0,0.98809523809524,0.49579174643038,0.34722222222222,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_no_persistent_self,277,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95382959717022,0.62151790573825,0.33231169143197,1,3,0.0,0.98809523809524,0.25987740297184,0.0,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_history_reset,277,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95361018684663,0.61721615554152,0.33639403130511,2,5,0.0,0.98214285714286,0.79206198398199,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_persistent,277,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95575930742453,0.61760279759075,0.33815650983378,2,2,1.0,0.99404761904762,0.79227348140543,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_no_persistent_self,277,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95403904753748,0.62064763617418,0.3333914113633,1,3,0.0,0.98809523809524,0.2600069693636,0.0,7.0-r1,heldout
7.0-p2,drone,progressive_history_reset,277,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95364828900132,0.61681490169985,0.33683338730147,2,5,0.0,0.98214285714286,0.79211470670156,0.8406471010466,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_persistent,277,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95583986559037,0.61838346510775,0.33745640048262,2,3,1.0,0.99404761904762,0.79218946828329,0.8406471010466,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_no_persistent_self,277,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95426177444677,0.62295790147176,0.33130387297501,1,3,0.0,0.98809523809524,0.259756464757,0.0,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_history_reset,277,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95414697718866,0.6168558466694,0.33729113051926,2,5,0.0,0.98214285714286,0.79216963588769,0.8406471010466,7.0-r1,heldout
7.0-p2,ground_creature,progressive_persistent,278,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94270725695575,0.61475012572095,0.32795713123479,2,4,0.0,0.99404761904762,0.49581318908151,0.34722222222222,7.0-r1,heldout
7.0-p2,ground_creature,progressive_no_persistent_self,278,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.9541443219794,0.62263021659334,0.33151410538606,1,3,0.0,0.98809523809524,0.25978169264633,0.0,7.0-r1,heldout
7.0-p2,ground_creature,progressive_history_reset,278,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.9444232976219,0.56544620058009,0.37897709704181,2,5,0.0,0.98214285714286,0.46860225164502,0.30555555555556,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_persistent,278,0-1-2-3,3,4,0,0.80952380952381,0.4,0.8,1.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95479724926506,0.61746999202846,0.3373272572366,2,3,1.0,0.98809523809524,0.79217397109377,0.8406471010466,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_no_persistent_self,278,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95412340594589,0.62177565663414,0.33234774931174,1,2,1.0,0.99404761904762,0.25988172991741,0.0,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_history_reset,278,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95433639304942,0.61671014801537,0.33762624503405,2,5,0.0,0.98214285714286,0.79220984962946,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_persistent,278,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95568779439079,0.61694104550335,0.33874674888744,2,2,1.0,0.99404761904762,0.79234431009187,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_no_persistent_self,278,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95369779764211,0.62048847305322,0.33320932458889,1,3,0.0,0.98809523809524,0.25998511895067,0.0,7.0-r1,heldout
7.0-p2,drone,progressive_history_reset,278,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95356103986381,0.61653370465928,0.33702733520452,2,5,0.0,0.98214285714286,0.79213798044992,0.8406471010466,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_persistent,278,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95555320034967,0.61790878614066,0.33764441420901,2,3,1.0,0.99404761904762,0.79221202993046,0.8406471010466,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_no_persistent_self,278,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95413087692162,0.62263714448797,0.33149373243365,1,3,1.0,0.98809523809524,0.25977924789204,0.0,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_history_reset,278,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95424177699428,0.61740938510145,0.33683239189283,2,5,0.0,0.98214285714286,0.79211458725252,0.8406471010466,7.0-r1,heldout
7.0-p2,ground_creature,progressive_persistent,279,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.75,1.0,0.0,0.0,5,1.0,0.95725699952092,0.61491074863693,0.34234625088399,2,3,0.0,0.98809523809524,0.82420655010608,0.875,7.0-r1,heldout
7.0-p2,ground_creature,progressive_no_persistent_self,279,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.96254987057153,0.56046093468779,0.40208893588374,1,3,0.0,0.98809523809524,0.92825067230605,1.0,7.0-r1,heldout
7.0-p2,ground_creature,progressive_history_reset,279,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.75,1.0,0.0,0.0,5,1.0,0.95782614325095,0.5606775200858,0.39714862316515,2,5,0.0,0.98214285714286,0.83078283477982,0.875,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_persistent,279,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.75,1.0,0.0,0.0,5,1.0,0.95733661071178,0.56102616878942,0.39631044192236,2,3,0.0,0.99404761904762,0.83068225303068,0.875,7.0-r1,heldout
