protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy,confirmatory_release,phase
7.0-p2,ground_creature,progressive_persistent,273,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95508517077553,0.61716118286773,0.3379239879078,2,3,1.0,0.99404761904762,0.79224557877432,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_no_persistent_self,273,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95415848036195,0.62210785630892,0.33205062405303,1,3,0.0,0.98809523809524,0.25984607488636,0.0,7.0-r1,preflight
7.0-p2,ground_creature,progressive_history_reset,273,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95386368150387,0.61649777640488,0.33736590509899,2,5,0.0,0.98214285714286,0.79217860883726,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_persistent,273,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91921092374963,0.60723866853038,0.31197225521925,2,4,1.0,0.99404761904762,0.78913137085169,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_no_persistent_self,273,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95431432041481,0.62085315944351,0.3334611609713,1,3,0.0,0.98809523809524,0.26001533931656,0.0,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_history_reset,273,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95388148806491,0.61692453944406,0.33695694862085,2,5,0.0,0.98214285714286,0.79212953405988,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_persistent,273,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95770435994822,0.61889641485728,0.33880794509094,2,3,1.0,0.98809523809524,0.79235165363629,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_no_persistent_self,273,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95361738153565,0.61967726378901,0.33394011774663,1,3,0.0,0.98809523809524,0.2600728141296,0.0,7.0-r1,preflight
7.0-p2,drone,progressive_history_reset,273,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9530808819742,0.61620492188466,0.33687596008954,2,5,0.0,0.98214285714286,0.79211981543612,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_persistent,273,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95578423820168,0.61821169567522,0.33757254252646,2,2,1.0,0.99404761904762,0.79220340532855,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_no_persistent_self,273,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95400419194264,0.62262389825861,0.33138029368404,1,3,1.0,0.98809523809524,0.25976563524208,0.0,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_history_reset,273,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95396343695322,0.61732276060853,0.33664067634469,2,5,0.0,0.98214285714286,0.79209158138674,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_persistent,274,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.92010449866695,0.60733087995873,0.31277361870821,2,4,1.0,0.99404761904762,0.78922753447036,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_no_persistent_self,274,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,0.98611111111111,0.91039927072507,0.62191373450973,0.28848553621534,1,4,0.0,0.98809523809524,0.25461826434584,0.0,7.0-r1,preflight
7.0-p2,ground_creature,progressive_history_reset,274,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91991660238139,0.60691747076235,0.31299913161903,2,5,0.0,0.98214285714286,0.78925459601966,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_persistent,274,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94190459358119,0.61422365065566,0.32768094292553,2,4,0.0,0.98809523809524,0.4957800464844,0.34722222222222,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_no_persistent_self,274,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95419065503338,0.62126335241193,0.33292730262145,1,3,0.0,0.98809523809524,0.25995127631457,0.0,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_history_reset,274,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94391355358573,0.56586781574396,0.37804573784177,2,5,0.0,0.98214285714286,0.46849048854101,0.30555555555556,7.0-r1,preflight
7.0-p2,drone,progressive_persistent,274,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95722548171629,0.61861323948449,0.3386122422318,2,4,1.0,0.98214285714286,0.79232816929319,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_no_persistent_self,274,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95367976993783,0.61984140393952,0.33383836599831,1,3,0.0,0.98809523809524,0.2600606039198,0.0,7.0-r1,preflight
7.0-p2,drone,progressive_history_reset,274,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.91904070620644,0.60671891752941,0.31232178867703,2,5,0.0,0.98214285714286,0.78917331486662,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_persistent,274,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95599025581994,0.61818857467722,0.33780168114272,2,2,1.0,0.99404761904762,0.79223090196251,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_no_persistent_self,274,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95407469937173,0.62259203096447,0.33148266840726,1,3,1.0,0.98809523809524,0.25977792020887,0.0,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_history_reset,274,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95412511809485,0.61666362582166,0.3374614922732,2,5,0.0,0.98214285714286,0.79219007929816,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_persistent,275,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.9193311743982,0.60695623681888,0.31237493757932,2,4,1.0,0.99404761904762,0.7891796927349,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_no_persistent_self,275,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95396330508133,0.62206507695022,0.3318982281311,1,3,1.0,0.98809523809524,0.25982778737573,0.0,7.0-r1,preflight
7.0-p2,ground_creature,progressive_history_reset,275,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95388336873768,0.61734091986209,0.33654244887559,2,5,0.0,0.98214285714286,0.79207979409045,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_persistent,275,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95832053534805,0.61922753219973,0.33909300314832,2,3,1.0,0.98809523809524,0.79238586060318,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_no_persistent_self,275,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95384277575909,0.62154071505409,0.332302060705,1,3,0.0,0.98809523809524,0.2598762472846,0.0,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_history_reset,275,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95383464444367,0.61683486499087,0.3369997794528,2,5,0.0,0.98214285714286,0.79213467375971,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_persistent,275,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95510864465418,0.61721603215374,0.33789261250045,2,2,1.0,0.99404761904762,0.79224181372543,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_no_persistent_self,275,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95394915107229,0.61989598042941,0.33405317064288,1,3,1.0,0.98809523809524,0.26008638047715,0.0,7.0-r1,preflight
7.0-p2,drone,progressive_history_reset,275,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95338930561764,0.61566726539277,0.33772204022487,2,5,0.0,0.98214285714286,0.79222134505236,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_persistent,275,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,0.98611111111111,0.9033713081718,0.60160624746064,0.30176506071116,2,3,0.0,0.99404761904762,0.49267014061867,0.34722222222222,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_no_persistent_self,275,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95404740325576,0.6224574940855,0.33158990917026,1,2,1.0,0.99404761904762,0.25979078910043,0.0,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_history_reset,275,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95433537794151,0.61705927941914,0.33727609852237,2,5,0.0,0.98214285714286,0.79216783204806,0.8406471010466,7.0-r1,preflight
7.0-p2,ground_creature,progressive_persistent,276,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.16666666666667,14,0.98611111111111,0.90203294277549,0.56551669680937,0.33651624596611,2,4,0.0,0.99404761904762,0.46350694951593,0.30555555555556,7.0-r1,preflight
7.0-p2,ground_creature,progressive_no_persistent_self,276,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95440228390625,0.62239984890236,0.33200243500389,1,3,0.0,0.98809523809524,0.25984029220047,0.0,7.0-r1,preflight
7.0-p2,ground_creature,progressive_history_reset,276,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94371477050432,0.56633345328277,0.37738131722154,2,5,0.0,0.98214285714286,0.46841075806659,0.30555555555556,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_persistent,276,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9580308638968,0.61937312179159,0.3386577421052,2,4,1.0,0.98214285714286,0.792333629278,0.8406471010466,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_no_persistent_self,276,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95381296744486,0.62116090165805,0.33265206578681,1,3,0.0,0.98809523809524,0.25991824789442,0.0,7.0-r1,preflight
7.0-p2,wheeled_robot,progressive_history_reset,276,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.9541145641563,0.61631339502271,0.33780116913359,2,5,0.0,0.98214285714286,0.79223084052141,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_persistent,276,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95104882133346,0.61502142225386,0.33602739907961,2,3,1.0,0.99404761904762,0.79201798811493,0.8406471010466,7.0-r1,preflight
7.0-p2,drone,progressive_no_persistent_self,276,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,0.98611111111111,0.910589397257,0.61980581869926,0.29078357855774,1,3,0.0,0.99404761904762,0.25489402942693,0.0,7.0-r1,preflight
7.0-p2,drone,progressive_history_reset,276,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.9194336894541,0.60617969203984,0.31325399741426,2,5,0.0,0.98214285714286,0.78928517991509,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_persistent,276,0-1-2-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95582421516396,0.61858788649566,0.3372363286683,2,3,1.0,0.99404761904762,0.79216305966558,0.8406471010466,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_no_persistent_self,276,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95462225342586,0.62285078165139,0.33177147177447,1,3,0.0,0.98809523809524,0.25981257661294,0.0,7.0-r1,preflight
7.0-p2,virtual_avatar,progressive_history_reset,276,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95451946869519,0.61790536189546,0.33661410679973,2,5,0.0,0.98214285714286,0.79208839304135,0.8406471010466,7.0-r1,preflight
