motion_weight,appearance_continuity_weight,state_update_alpha,cv_score,n_folds
0.2,0.0,0.1,0.9979745370370372,12
0.2,0.0,0.2,0.9979745370370372,12
0.2,0.0,0.4,0.9979745370370372,12
0.2,0.25,0.1,0.9979745370370372,12
0.2,0.25,0.2,0.9979745370370372,12
0.2,0.25,0.4,0.9979745370370372,12
0.2,0.6,0.1,0.9979745370370372,12
0.2,0.6,0.2,0.9979745370370372,12
0.2,0.6,0.4,0.9979745370370372,12
0.55,0.0,0.1,0.9979745370370372,12
0.55,0.0,0.2,0.9979745370370372,12
0.55,0.0,0.4,0.9979745370370372,12
0.55,0.25,0.1,0.9979745370370372,12
0.55,0.25,0.2,0.9979745370370372,12
0.55,0.25,0.4,0.9979745370370372,12
0.55,0.6,0.1,0.9979745370370372,12
0.55,0.6,0.2,0.9979745370370372,12
0.55,0.6,0.4,0.9979745370370372,12
1.0,0.0,0.1,0.9979745370370372,12
1.0,0.0,0.2,0.9979745370370372,12
1.0,0.0,0.4,0.9979745370370372,12
1.0,0.25,0.1,0.9979745370370372,12
1.0,0.25,0.2,0.9979745370370372,12
1.0,0.25,0.4,0.9979745370370372,12
1.0,0.6,0.1,0.9979745370370372,12
1.0,0.6,0.2,0.9979745370370372,12
1.0,0.6,0.4,0.9979745370370372,12
