run_id,seed,profile,scenario,model,identity_continuity,lure_capture,recovery_latency_s,selection_switches
327_drone_matched_adversarial_identity,327,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,10
327_drone_matched_adversarial_identity,327,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
327_virtual_avatar_matched_adversarial_identity,327,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
327_virtual_avatar_matched_adversarial_identity,327,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
327_wheeled_robot_matched_adversarial_identity,327,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
327_wheeled_robot_matched_adversarial_identity,327,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
328_drone_matched_adversarial_identity,328,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,18
328_drone_matched_adversarial_identity,328,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
328_ground_creature_matched_adversarial_identity,328,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
328_ground_creature_matched_adversarial_identity,328,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
328_virtual_avatar_matched_adversarial_identity,328,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
328_virtual_avatar_matched_adversarial_identity,328,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
328_wheeled_robot_matched_adversarial_identity,328,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
328_wheeled_robot_matched_adversarial_identity,328,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
329_drone_matched_adversarial_identity,329,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,8
329_drone_matched_adversarial_identity,329,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
329_ground_creature_matched_adversarial_identity,329,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
329_ground_creature_matched_adversarial_identity,329,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
329_virtual_avatar_matched_adversarial_identity,329,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
329_virtual_avatar_matched_adversarial_identity,329,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
329_wheeled_robot_matched_adversarial_identity,329,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
329_wheeled_robot_matched_adversarial_identity,329,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
330_drone_matched_adversarial_identity,330,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,8
330_drone_matched_adversarial_identity,330,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
330_ground_creature_matched_adversarial_identity,330,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
330_ground_creature_matched_adversarial_identity,330,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
330_virtual_avatar_matched_adversarial_identity,330,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
330_virtual_avatar_matched_adversarial_identity,330,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
330_wheeled_robot_matched_adversarial_identity,330,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
330_wheeled_robot_matched_adversarial_identity,330,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
