seed,profile,condition,protocol,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_recovery_observed,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy,scene_hash
277,ground_creature,progressive_persistent,confirmatory,0.92298841781124,1.0,1.0,0.0,1,0.0,0,0.35823681509366,1,2,1.0,0.15,0.3,1.0,1.0,21128d70c68a5c6cc3e4a21a08e5326a2c61ec19bd7ecdccb18b016b2e634e52
277,ground_creature,progressive_no_persistent_self,confirmatory,0.26135940283867,0.0,0.0,6.66,0,1.0,0,0.34466169032226,1,2,0.0,1.0,4.2,1.0,1.0,21128d70c68a5c6cc3e4a21a08e5326a2c61ec19bd7ecdccb18b016b2e634e52
277,ground_creature,progressive_history_reset,confirmatory,0.92301759287264,1.0,1.0,0.0,1,0.0,0,0.3584799406053,1,4,0.0,0.0,4.2,0.0,1.0,21128d70c68a5c6cc3e4a21a08e5326a2c61ec19bd7ecdccb18b016b2e634e52
277,wheeled_robot,progressive_persistent,confirmatory,0.92278777770721,1.0,1.0,0.0,1,0.0,0,0.35656481422674,1,2,1.0,0.16666666666667,0.33333333333333,1.0,1.0,4e42e2eda6872dfa59f8cdeeec4e1decc05388846be41538433ef7725dc4d185
277,wheeled_robot,progressive_no_persistent_self,confirmatory,0.92270071177464,1.0,1.0,0.0,1,0.0,0,0.35583926478864,1,2,0.0,1.0,4.2,0.0,1.0,4e42e2eda6872dfa59f8cdeeec4e1decc05388846be41538433ef7725dc4d185
277,wheeled_robot,progressive_history_reset,confirmatory,0.92282510653644,1.0,1.0,0.0,1,0.0,0,0.35687588780364,1,4,0.0,0.0,4.2,0.0,1.0,4e42e2eda6872dfa59f8cdeeec4e1decc05388846be41538433ef7725dc4d185
277,drone,progressive_persistent,confirmatory,0.81627259737627,0.86111111111111,0.72222222222222,0.0,1,0.0,8,0.34567442258,2,3,1.0,0.3,0.6,1.0,1.0,13c7b85aa0a3570a96907c557fcc2bbebd92baeac89d76bf3d7ac88a4bd2e43e
277,drone,progressive_no_persistent_self,confirmatory,0.26024589502132,0.0,0.0,6.66,0,1.0,0,0.33538245851096,1,2,0.0,1.0,4.2,1.0,1.0,13c7b85aa0a3570a96907c557fcc2bbebd92baeac89d76bf3d7ac88a4bd2e43e
277,drone,progressive_history_reset,confirmatory,0.72135800043891,0.71279604174427,0.625,0.7,1,0.14583333333333,9,0.3357628484513,2,5,0.0,0.0,4.2,0.0,1.0,13c7b85aa0a3570a96907c557fcc2bbebd92baeac89d76bf3d7ac88a4bd2e43e
277,virtual_avatar,progressive_persistent,confirmatory,0.92315338817645,1.0,1.0,0.0,1,0.0,0,0.35961156813705,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,899f3bf3c0b47201e482ccb38af42e0d6bbf4b39e42ee33c38cea32ab98ea342
277,virtual_avatar,progressive_no_persistent_self,confirmatory,0.92301951360182,1.0,1.0,0.0,1,0.0,0,0.35849594668185,1,2,0.0,1.0,4.2,0.0,1.0,899f3bf3c0b47201e482ccb38af42e0d6bbf4b39e42ee33c38cea32ab98ea342
277,virtual_avatar,progressive_history_reset,confirmatory,0.92315617729367,1.0,1.0,0.0,1,0.0,0,0.35963481078059,1,4,0.0,0.0,4.2,0.0,1.0,899f3bf3c0b47201e482ccb38af42e0d6bbf4b39e42ee33c38cea32ab98ea342
278,ground_creature,progressive_persistent,confirmatory,0.92292879802651,1.0,1.0,0.0,1,0.0,0,0.35773998355425,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,ca726b31cf10da4e9fe271f55462aa7165d54f7490164f6a24a62ce3d286cac5
278,ground_creature,progressive_no_persistent_self,confirmatory,0.9228016278472,1.0,1.0,0.0,1,0.0,0,0.35668023206004,1,2,0.0,1.0,4.2,0.0,1.0,ca726b31cf10da4e9fe271f55462aa7165d54f7490164f6a24a62ce3d286cac5
278,ground_creature,progressive_history_reset,confirmatory,0.92293548319235,1.0,1.0,0.0,1,0.0,0,0.35779569326956,1,4,0.0,0.0,4.2,0.0,1.0,ca726b31cf10da4e9fe271f55462aa7165d54f7490164f6a24a62ce3d286cac5
278,wheeled_robot,progressive_persistent,confirmatory,0.92268046896383,1.0,1.0,0.0,1,0.0,0,0.35567057469855,1,2,1.0,0.16666666666667,0.33333333333333,1.0,1.0,84d04cd8b51562949d75fe0ccdaf942d47eb51e1c16e27efd07b947a7ecda791
278,wheeled_robot,progressive_no_persistent_self,confirmatory,0.26115443555887,0.0,0.0,6.66,0,1.0,0,0.34295362965727,1,2,0.0,1.0,4.2,1.0,1.0,84d04cd8b51562949d75fe0ccdaf942d47eb51e1c16e27efd07b947a7ecda791
