seed,profile,condition,protocol,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_recovery_observed,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy,scene_hash
261,ground_creature,progressive_persistent,matched_diagnostic,0.92294742964453,1.0,1.0,0.0,1,0.0,0,0.35789524703775,1,2,1.0,0.15,0.3,1.0,1.0,608203817bf963985dc67833a6580ba4beb4b15a9c73348c2af929f047a3a0f4
261,ground_creature,final_from_start,matched_diagnostic,0.88683648240244,0.97764458649951,0.98611111111111,0.1,1,0.02083333333333,1,0.35548553863498,2,2,1.0,0.0,0.0,1.0,1.0,2f03d69c34c43a4a0640de2d56a98a67a0e86f1c12a266afb904ae66d0bae2c1
261,ground_creature,reverse_curriculum,matched_diagnostic,0.92294020278517,1.0,1.0,0.0,1,0.0,0,0.35783502320971,1,2,1.0,0.15,0.3,1.0,1.0,8ec08d517f8ff724ee4605ace9454b189265413cee1958992d6233274eafd4ac
261,ground_creature,random_curriculum,matched_diagnostic,0.92294742964453,1.0,1.0,0.0,1,0.0,0,0.35789524703775,1,2,1.0,0.15,0.3,1.0,1.0,608203817bf963985dc67833a6580ba4beb4b15a9c73348c2af929f047a3a0f4
261,ground_creature,progressive_history_reset,matched_diagnostic,0.92298511089097,1.0,1.0,0.0,1,0.0,0,0.35820925742475,1,4,0.0,0.0,4.2,0.0,1.0,608203817bf963985dc67833a6580ba4beb4b15a9c73348c2af929f047a3a0f4
261,ground_creature,progressive_no_persistent_self,matched_diagnostic,0.92284433211612,1.0,1.0,0.0,1,0.0,0,0.35703610096769,1,2,0.0,1.0,4.2,0.0,1.0,608203817bf963985dc67833a6580ba4beb4b15a9c73348c2af929f047a3a0f4
261,wheeled_robot,progressive_persistent,matched_diagnostic,0.83199243946037,0.89222019764877,0.93055555555556,0.5,1,0.10416666666667,1,0.34749847466801,2,2,1.0,0.16666666666667,0.33333333333333,1.0,1.0,9f8baffb60e9652ced1a41dd8f136805031bb8a4b128c879e3648463f7df8c0a
261,wheeled_robot,final_from_start,matched_diagnostic,0.83199643696694,0.89222019764877,0.93055555555556,0.5,1,0.10416666666667,1,0.34753178722277,2,2,1.0,0.08333333333333,0.16666666666667,1.0,1.0,62b2e41b3cb7051b364923d3c9043cd9375083a92683432b7d4106299c6e34e2
261,wheeled_robot,reverse_curriculum,matched_diagnostic,0.83199243946037,0.89222019764877,0.93055555555556,0.5,1,0.10416666666667,1,0.34749847466801,2,2,1.0,0.16666666666667,0.33333333333333,1.0,1.0,c78f0b70569efe6ee4a7397b8d3bea4ea675e299f1683e9ba1534cff7d7e8f84
261,wheeled_robot,random_curriculum,matched_diagnostic,0.83199243946037,0.89222019764877,0.93055555555556,0.5,1,0.10416666666667,1,0.34749847466801,2,2,1.0,0.16666666666667,0.33333333333333,1.0,1.0,9f8baffb60e9652ced1a41dd8f136805031bb8a4b128c879e3648463f7df8c0a
261,wheeled_robot,progressive_history_reset,matched_diagnostic,0.92273083587838,1.0,1.0,0.0,1,0.0,0,0.35609029898651,1,4,0.0,0.0,4.2,0.0,1.0,9f8baffb60e9652ced1a41dd8f136805031bb8a4b128c879e3648463f7df8c0a
