seed,profile,condition,protocol,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_recovery_observed,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy,scene_hash
273,ground_creature,progressive_persistent,preflight,0.92294382799784,1.0,1.0,0.0,1,0.0,0,0.35786523331536,1,2,1.0,0.08333333333333,0.16666666666667,1.0,1.0,69824edc3c8eccf3e5bfd200d634b38f32e512086ff29eeb71086820f96f1ea3
273,ground_creature,progressive_no_persistent_self,preflight,0.26137549466108,0.0,0.0,6.66,0,1.0,0,0.34479578884233,1,2,0.0,1.0,4.2,1.0,1.0,69824edc3c8eccf3e5bfd200d634b38f32e512086ff29eeb71086820f96f1ea3
273,ground_creature,progressive_history_reset,preflight,0.92297816061119,1.0,1.0,0.0,1,0.0,0,0.3581513384266,1,4,0.0,0.0,4.2,0.0,1.0,69824edc3c8eccf3e5bfd200d634b38f32e512086ff29eeb71086820f96f1ea3
273,wheeled_robot,progressive_persistent,preflight,0.9227690349293,1.0,1.0,0.0,1,0.0,0,0.35640862441081,1,2,1.0,0.15,0.3,1.0,1.0,c3fa8de0a56c500c604c7f40bb2d52c10969fc69898fdbf75d92d1546718d06a
273,wheeled_robot,progressive_no_persistent_self,preflight,0.26120859941555,0.0,0.0,6.66,0,1.0,0,0.34340499512957,1,2,0.0,1.0,4.2,1.0,1.0,c3fa8de0a56c500c604c7f40bb2d52c10969fc69898fdbf75d92d1546718d06a
273,wheeled_robot,progressive_history_reset,preflight,0.92279622372748,1.0,1.0,0.0,1,0.0,0,0.35663519772901,1,4,0.0,0.0,4.2,0.0,1.0,c3fa8de0a56c500c604c7f40bb2d52c10969fc69898fdbf75d92d1546718d06a
273,drone,progressive_persistent,preflight,0.92196963551127,1.0,1.0,0.0,1,0.0,0,0.3497469625939,1,2,1.0,0.3,0.23333333333333,1.0,1.0,64ae7bbb19e2e51ac439ee0a676c39f897199a823bc3c8e4ef1d4858a63228e5
273,drone,progressive_no_persistent_self,preflight,0.26030514464117,0.0,0.0,6.66,0,1.0,0,0.33587620534306,1,2,0.0,1.0,4.2,1.0,1.0,64ae7bbb19e2e51ac439ee0a676c39f897199a823bc3c8e4ef1d4858a63228e5
273,drone,progressive_history_reset,preflight,0.92199638729087,1.0,1.0,0.0,1,0.0,0,0.34996989409059,1,4,0.0,0.0,4.2,0.0,1.0,64ae7bbb19e2e51ac439ee0a676c39f897199a823bc3c8e4ef1d4858a63228e5
273,virtual_avatar,progressive_persistent,preflight,0.92324095429519,1.0,1.0,0.0,1,0.0,0,0.36034128579325,1,2,1.0,0.01666666666667,0.03333333333333,1.0,1.0,3b690f1d9a121cace281a61fb4dae41e3764e12ae3049025c617f9b9ee51e578
273,virtual_avatar,progressive_no_persistent_self,preflight,0.92309717271801,1.0,1.0,0.0,1,0.0,0,0.35914310598342,1,2,0.0,1.0,4.2,0.0,1.0,3b690f1d9a121cace281a61fb4dae41e3764e12ae3049025c617f9b9ee51e578
273,virtual_avatar,progressive_history_reset,preflight,0.92324140409579,1.0,1.0,0.0,1,0.0,0,0.36034503413156,1,4,0.0,0.0,4.2,0.0,1.0,3b690f1d9a121cace281a61fb4dae41e3764e12ae3049025c617f9b9ee51e578
274,ground_creature,progressive_persistent,preflight,0.92296948945253,1.0,1.0,0.0,1,0.0,0,0.35807907877106,1,2,1.0,0.13333333333333,0.26666666666667,1.0,1.0,07a9d99785a1c0fbc62c453b413533ee8e5a5e71cade4d005f32cc5752659018
274,ground_creature,progressive_no_persistent_self,preflight,0.26135491761789,0.0,0.0,6.66,0,1.0,0,0.3446243134824,1,2,0.0,1.0,4.2,1.0,1.0,07a9d99785a1c0fbc62c453b413533ee8e5a5e71cade4d005f32cc5752659018
274,ground_creature,progressive_history_reset,preflight,0.92299283025587,1.0,1.0,0.0,1,0.0,0,0.3582735854656,1,4,0.0,0.0,4.2,0.0,1.0,07a9d99785a1c0fbc62c453b413533ee8e5a5e71cade4d005f32cc5752659018
274,wheeled_robot,progressive_persistent,preflight,0.92250814845347,1.0,1.0,0.0,1,0.0,0,0.35423457044559,1,2,1.0,0.18333333333333,0.36666666666667,1.0,1.0,b691398260816cc034bc53830ef1e03f9561e92ef9b4e3d5567f25a40c4ac16f
274,wheeled_robot,progressive_no_persistent_self,preflight,0.26094855285368,0.0,0.0,6.66,0,1.0,0,0.34123794044729,1,2,0.0,1.0,4.2,1.0,1.0,b691398260816cc034bc53830ef1e03f9561e92ef9b4e3d5567f25a40c4ac16f
274,wheeled_robot,progressive_history_reset,preflight,0.9225591848364,1.0,1.0,0.0,1,0.0,0,0.35465987363665,1,4,0.0,0.0,4.2,0.0,1.0,b691398260816cc034bc53830ef1e03f9561e92ef9b4e3d5567f25a40c4ac16f
274,drone,progressive_persistent,preflight,0.92180720729727,1.0,1.0,0.0,1,0.0,0,0.34839339414394,1,2,1.0,0.21666666666667,0.43333333333333,1.0,1.0,07762f6526958ff0d853d70a237c7b9044b0988ed9be0b2f9c12dce2439b7a12
274,drone,progressive_no_persistent_self,preflight,0.26034455549146,0.0,0.0,6.66,0,1.0,0,0.3362046290955,1,2,0.0,1.0,4.2,1.0,1.0,07762f6526958ff0d853d70a237c7b9044b0988ed9be0b2f9c12dce2439b7a12
274,drone,progressive_history_reset,preflight,0.81808515171861,0.87178352910118,0.91666666666667,0.6,1,0.125,1,0.34017760164794,2,5,0.0,0.0,4.2,0.0,1.0,07762f6526958ff0d853d70a237c7b9044b0988ed9be0b2f9c12dce2439b7a12
274,virtual_avatar,progressive_persistent,preflight,0.92316779887111,1.0,1.0,0.0,1,0.0,0,0.35973165725929,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,64dfe757963c8cf5f4e066224d98077ffa82359d0d5a0e84a304d3513e81000e
274,virtual_avatar,progressive_no_persistent_self,preflight,0.92303715642489,1.0,1.0,0.0,1,0.0,0,0.35864297020742,1,2,0.0,1.0,4.2,0.0,1.0,64dfe757963c8cf5f4e066224d98077ffa82359d0d5a0e84a304d3513e81000e
274,virtual_avatar,progressive_history_reset,preflight,0.92316664867596,1.0,1.0,0.0,1,0.0,0,0.35972207229971,1,4,0.0,0.0,4.2,0.0,1.0,64dfe757963c8cf5f4e066224d98077ffa82359d0d5a0e84a304d3513e81000e
275,ground_creature,progressive_persistent,preflight,0.92290759355721,1.0,1.0,0.0,1,0.0,0,0.35756327964339,1,2,1.0,0.13333333333333,0.26666666666667,1.0,1.0,4a5f23b22c267c4dd6cd47350eb7fe223e592b787f8b0d683a282f3bcb8bcd0a
275,ground_creature,progressive_no_persistent_self,preflight,0.26132357855368,0.0,0.0,6.66,0,1.0,0,0.34436315461401,1,2,0.0,1.0,4.2,1.0,1.0,4a5f23b22c267c4dd6cd47350eb7fe223e592b787f8b0d683a282f3bcb8bcd0a
275,ground_creature,progressive_history_reset,preflight,0.922941804724,1.0,1.0,0.0,1,0.0,0,0.3578483727,1,4,0.0,0.0,4.2,0.0,1.0,4a5f23b22c267c4dd6cd47350eb7fe223e592b787f8b0d683a282f3bcb8bcd0a
275,wheeled_robot,progressive_persistent,preflight,0.92258111179785,1.0,1.0,0.0,1,0.0,0,0.35484259831541,1,2,1.0,0.18333333333333,0.36666666666667,1.0,1.0,c90c121903c39e0340081ea6ab2536e36654cadb1e180193aa2c7b0996dc4f45
275,wheeled_robot,progressive_no_persistent_self,preflight,0.26094370963161,0.0,0.0,6.66,0,1.0,0,0.34119758026339,1,2,0.0,1.0,4.2,1.0,1.0,c90c121903c39e0340081ea6ab2536e36654cadb1e180193aa2c7b0996dc4f45
275,wheeled_robot,progressive_history_reset,preflight,0.922632305923,1.0,1.0,0.0,1,0.0,0,0.35526921602498,1,4,0.0,0.0,4.2,0.0,1.0,c90c121903c39e0340081ea6ab2536e36654cadb1e180193aa2c7b0996dc4f45
275,drone,progressive_persistent,preflight,0.63300174813725,0.59067455988574,0.70833333333333,2.3,1,0.4375,5,0.32923568029806,2,2,1.0,0.3,0.23333333333333,1.0,1.0,a6f17f3a5f962e102ae88737d9b85466d76da773367d3dc6acdfeceec2dab620
275,drone,progressive_no_persistent_self,preflight,0.26025691143631,0.0,0.0,6.66,0,1.0,0,0.33547426196922,1,2,0.0,1.0,4.2,1.0,1.0,a6f17f3a5f962e102ae88737d9b85466d76da773367d3dc6acdfeceec2dab620
275,drone,progressive_history_reset,preflight,0.63299733158344,0.59067455988574,0.70833333333333,2.3,1,0.4375,5,0.32919887568301,2,5,0.0,0.0,4.2,0.0,1.0,a6f17f3a5f962e102ae88737d9b85466d76da773367d3dc6acdfeceec2dab620
275,virtual_avatar,progressive_persistent,preflight,0.92314762976606,1.0,1.0,0.0,1,0.0,0,0.35956358138386,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,9bfc803b3fa0141b6db15ddd698519dacd10bb85cdc1412c5a2a83650042d7aa
275,virtual_avatar,progressive_no_persistent_self,preflight,0.92301504637488,1.0,1.0,0.0,1,0.0,0,0.35845871979064,1,2,0.0,1.0,4.2,0.0,1.0,9bfc803b3fa0141b6db15ddd698519dacd10bb85cdc1412c5a2a83650042d7aa
275,virtual_avatar,progressive_history_reset,preflight,0.92314380845365,1.0,1.0,0.0,1,0.0,0,0.35953173711371,1,4,0.0,0.0,4.2,0.0,1.0,9bfc803b3fa0141b6db15ddd698519dacd10bb85cdc1412c5a2a83650042d7aa
